"SENSOR" "PRODUCT" "PLATFORM" "PF1" "PF2" "TOPIC" "TYPE" "RES" "TEMP_RES" "INTERNALSEPARATOR"
"23" "MODIS" "MOD09Q1" "Terra" "MOLT" "MOD" "Surface Reflectance Bands 1-2" "Tile" "250m" "8 Day" "."
"24" "MODIS" "MYD09Q1" "Aqua" "MOLA" "MYD" "Surface Reflectance Bands 1-2" "Tile" "250m" "8 Day" "."
"25" "MODIS" "MOD13A1" "Terra" "MOLT" "MOD" "Vegetation Indices" "Tile" "500m" "16 Day" "."
"26" "MODIS" "MYD13A1" "Aqua" "MOLA" "MYD" "Vegetation Indices" "Tile" "500m" "16 Day" "."
"27" "MODIS" "MOD13A2" "Terra" "MOLT" "MOD" "Vegetation Indices" "Tile" "1000m" "16 Day" "."
"28" "MODIS" "MYD13A2" "Aqua" "MOLA" "MYD" "Vegetation Indices" "Tile" "1000m" "16 Day" "."
"29" "MODIS" "MOD13Q1" "Terra" "MOLT" "MOD" "Vegetation Indices" "Tile" "250m" "16 Day" "."
"30" "MODIS" "MYD13Q1" "Aqua" "MOLA" "MYD" "Vegetation Indices" "Tile" "250m" "16 Day" "."
"31" "MODIS" "MOD13A3" "Terra" "MOLT" "MOD" "Vegetation Indices" "Tile" "1000m" "Monthly" "."
"32" "MODIS" "MYD13A3" "Aqua" "MOLA" "MYD" "Vegetation Indices" "Tile" "1000m" "Monthly" "."
"33" "MODIS" "MOD13C1" "Terra" "MOLT" "MOD" "Vegetation Indices" "CMG" "5600m" "16 Day" "."
"34" "MODIS" "MYD13C1" "Aqua" "MOLA" "MYD" "Vegetation Indices" "CMG" "5600m" "16 Day" "."
"35" "MODIS" "MOD13C2" "Terra" "MOLT" "MOD" "Vegetation Indices" "CMG" "5600m" "Monthly" "."
"36" "MODIS" "MYD13C2" "Aqua" "MOLA" "MYD" "Vegetation Indices" "CMG" "5600m" "Monthly" "."
"37" "MODIS" "MOD44W" "Terra" "MOLT" "MOD" "Land Water Mask Derived" "Tile" "250m" "none" "."
"38" "MODIS" "MOD11_L2" "Terra" "MOLT" "MOD" "Land Surface Temperature & Emissivity" "Swath" "1000m" "5 Min" "."
"39" "MODIS" "MYD11_L2" "Aqua" "MOLA" "MYD" "Land Surface Temperature & Emissivity" "Swath" "1000m" "5 Min" "."
"40" "MODIS" "MOD11A1" "Terra" "MOLT" "MOD" "Land Surface Temperature & Emissivity" "Tile" "1000m" "Daily" "."
"41" "MODIS" "MYD11A1" "Aqua" "MOLA" "MYD" "Land Surface Temperature & Emissivity" "Tile" "1000m" "Daily" "."
"42" "MODIS" "MOD11A2" "Terra" "MOLT" "MOD" "Land Surface Temperature & Emissivity" "Tile" "1000m" "8 Day" "."
"43" "MODIS" "MYD11A2" "Aqua" "MOLA" "MYD" "Land Surface Temperature & Emissivity" "Tile" "1000m" "8 Day" "."
"44" "MODIS" "MOD11B1" "Terra" "MOLT" "MOD" "Land Surface Temperature & Emissivity" "Tile" "6000m" "Daily" "."
"45" "MODIS" "MYD11B1" "Aqua" "MOLA" "MYD" "Land Surface Temperature & Emissivity" "Tile" "6000m" "Daily" "."
"46" "MODIS" "MOD11C1" "Terra" "MOLT" "MOD" "Land Surface Temperature & Emissivity" "CMG" "5600m" "Daily" "."
"47" "MODIS" "MYD11C1" "Aqua" "MOLA" "MYD" "Land Surface Temperature & Emissivity" "CMG" "5600m" "Daily" "."
"48" "MODIS" "MOD11C2" "Terra" "MOLT" "MOD" "Land Surface Temperature & Emissivity" "CMG" "5600m" "8 Day" "."
"49" "MODIS" "MYD11C2" "Aqua" "MOLA" "MYD" "Land Surface Temperature & Emissivity" "CMG" "5600m" "8 Day" "."
"50" "MODIS" "MOD11C3" "Terra" "MOLT" "MOD" "Land Surface Temperature & Emissivity" "CMG" "5600m" "Monthly" "."
"51" "MODIS" "MYD11C3" "Aqua" "MOLA" "MYD" "Land Surface Temperature & Emissivity" "CMG" "5600m" "Monthly" "."
"58" "MODIS" "MCD15A2" "Combined" "MOTA" "MCD" "Leaf Area Index - FPAR" "Tile" "1000m" "8 Day" "."
"59" "MODIS" "MOD15A2" "Terra" "MOLT" "MOD" "Leaf Area Index - FPAR" "Tile" "1000m" "8 Day" "."
"60" "MODIS" "MYD15A2" "Aqua" "MOLA" "MYD" "Leaf Area Index - FPAR" "Tile" "1000m" "8 Day" "."
"61" "MODIS" "MCD15A3" "Combined" "MOTA" "MCD" "Leaf Area Index - FPAR" "Tile" "1000m" "4 Day" "."
"62" "MODIS" "MOD17A2" "Terra" "MOLT" "MOD" "Gross Primary Productivity" "Tile" "1000m" "8 Day" "."
"63" "MODIS" "MYD17A2" "Aqua" "MOLA" "MYD" "Gross Primary Productivity" "Tile" "1000m" "8 Day" "."
"64" "MODIS" "MCD43A3" "Combined" "MOTA" "MCD" "Albedo" "Tile" "500m" "16 Day" "."
"65" "MODIS" "MCD43B3" "Combined" "MOTA" "MCD" "Albedo" "Tile" "1000m" "16 Day" "."
"66" "MODIS" "MCD43C3" "Combined" "MOTA" "MCD" "Albedo" "CMG" "5600m" "16 Day" "."
"67" "MODIS" "MCD43A1" "Combined" "MOTA" "MCD" "BRDF-Albedo Model Parameters" "Tile" "500m" "16 Day" "."
"68" "MODIS" "MCD43B1" "Combined" "MOTA" "MCD" "BRDF-Albedo Model Parameters" "Tile" "1000m" "16 Day" "."
"69" "MODIS" "MCD43C1" "Combined" "MOTA" "MCD" "BRDF-Albedo Model Parameters" "CMG" "5600m" "16 Day" "."
"70" "MODIS" "MCD43A2" "Combined" "MOTA" "MCD" "BRDF-Albedo Quality" "Tile" "500m" "16 Day" "."
"71" "MODIS" "MCD43B2" "Combined" "MOTA" "MCD" "BRDF-Albedo Quality" "Tile" "1000m" "16 Day" "."
"72" "MODIS" "MCD43C2" "Combined" "MOTA" "MCD" "BRDF-Albedo Snow-free Quality" "CMG" "5600m" "16 Day" "."
"73" "MODIS" "MCD43A4" "Combined" "MOTA" "MCD" "Nadir BRDF-Adjusted Reflectance" "Tile" "500m" "16 Day" "."
"74" "MODIS" "MCD43B4" "Combined" "MOTA" "MCD" "Nadir BRDF-Adjusted Reflectance" "Tile" "1000m" "16 Day" "."
"75" "MODIS" "MCD43C4" "Combined" "MOTA" "MCD" "Nadir BRDF-Adjusted Reflectance" "CMG" "5600m" "16 Day" "."
"76" "MODIS" "MOD09GST" "Terra" "MOLT" "MOD" "Surface Reflectance Quality" "Tile" "1000m" "Daily" "."
"77" "MODIS" "MYD09GST" "Aqua" "MOLA" "MYD" "Surface Reflectance Quality" "Tile" "1000m" "Daily" "."
"78" "MODIS" "MOD43C1" "Terra" "MOLT" "MOD" "Albedo" "CMG" "5600m" "16 Day" "."
"79" "MODIS" "MOD43C2" "Terra" "MOLT" "MOD" "BRDF/Albedo Model Parameters" "CMG" "5600m" "16 Day" "."
"80" "MODIS" "MOD43C3" "Terra" "MOLT" "MOD" "NBAR" "CMG" "5600m" "16 Day" "."
"81" "MODIS" "MOD44A" "Terra" "MOLT" "MOD" "Vegetative Cover Conversion" "Tile" "250m" "3 Monthly" "."
"82" "MODIS" "MOD17A3" "Terra" "MOLT" "MOD" "Net Primary Production" "Tile" "1000m" "Yearly" "."
"83" "MODIS" "MYD17A3" "Aqua" "MOLA" "MYD" "Net Primary Production" "Tile" "1000m" "Yearly" "."
"100" "MERIS" "culture-MERIS" "ENVISAT" "" ""  "MERIS FR surface reflectance" "Tile" "300m" "7 Day" "_"
